Rank,Feature,Importance
1,grade,0.13307579225317265
2,int_rate,0.1276295568424883
3,sub_grade,0.11302366309878648
4,purpose_debt_consolidation,0.09049101645821109
5,term_ 36 months,0.08185465249560943
6,term_ 60 months,0.07388788218938641
7,home_ownership_RENT,0.04779626064282262
8,verification_status_Not Verified,0.04721244824903977
9,home_ownership_MORTGAGE,0.04385940014849794
10,dti,0.03721304165143061
11,mort_acc,0.03684533534132264
12,purpose_credit_card,0.028712992283303734
13,annual_inc,0.019335076113817955
14,emp_length,0.01925972057668541
15,issue_year,0.017960082072337517
16,verification_status_Verified,0.01597886493064447
17,verification_status_Source Verified,0.01388926105814264
18,purpose_home_improvement,0.007880801639791482
19,revol_util,0.007641606704813372
20,home_ownership_OWN,0.0074439626083259115
21,loan_amnt,0.005160584730026981
22,open_acc,0.004725532878244801
23,purpose_other,0.0038687826613579227
24,earliest_cr_year,0.003365048804584819
25,installment,0.0032560525358012694
26,initial_list_status_w,0.0018666018021276328
27,initial_list_status_f,0.0014289792659356836
28,issue_month,0.0011028530490480933
29,purpose_small_business,0.0009922128146411509
30,total_acc,0.0008518365667386285
31,purpose_major_purchase,0.000836249066784609
32,revol_bal,0.0007788071238558496
33,purpose_car,0.0004057893622726289
34,purpose_medical,0.00011098816384384724
35,purpose_vacation,9.06886051488673e-05
36,purpose_moving,6.772480823801916e-05
37,pub_rec,2.472428184605431e-05
38,pub_rec_bankruptcies,2.3304026550761304e-05
39,application_type_DIRECT_PAY,1.4876766157830695e-05
40,application_type_INDIVIDUAL,1.1811996544579705e-05
41,purpose_house,1.0856650499434624e-05
42,purpose_renewable_energy,7.526949533597914e-06
43,purpose_wedding,5.394970702962482e-06
44,home_ownership_OTHER,5.910008275455907e-07
45,application_type_JOINT,4.2515427508453655e-07
46,purpose_educational,3.386057808511047e-07
47,home_ownership_ANY,0.0
48,home_ownership_NONE,0.0
